id;zdjecie;zdjecie_content_type;ulica;miasto;kod_pocztowy;email;telefon;strona_www;nazwa;opis;ilosc_osob;cena;pkt_do_zdobycia;wymagana_ilosc_pkt;poziom_trudnosci;czas_na_przejscie
1;486f6d65204c6f616e204163636f756e74205461626c6520436f6d7075746572;image/png;Trace;Savings Account alarm;Tasty Metal Bacon;Coy99@hotmail.com;Money Market Account;Albania web-readiness;Namibia;537465656c207a65726f2061646d696e697374726174696f6e;Multi-channelled Licensed;61838;19967;38246;LATWY;Credit Card Account Table Small Frozen Sausages
2;4e616b6661;image/png;Bahamian Dollar Investment Account;Games Regional Digitized;copy convergence;Karson3@gmail.com;synthesizing Views e-enable;Credit Card Account National Awesome;Aruba;736f667477617265207363616c6520696e746572616374697665;Louisiana Specialist Home Loan Account;27599;14092;29627;LATWY;orange Books
3;556e6272616e64656420506c61737469632054756e612046726f7a656e;image/png;generating Highway Ergonomic;moratorium moratorium;New York tangible Mississippi;Blake_Witting76@yahoo.com;Idaho compress Avon;system Small;Intelligent Outdoors;486172626f72204d6f6e74616e61;Corporate Phased relationships;75555;20306;22879;LATWY;Auto Loan Account modular Refined
4;4558452070726f6a656374696f6e204672657368;image/png;support Gorgeous;withdrawal;copying;Ellsworth51@hotmail.com;supply-chains magenta;encompassing;Directives;736b7920626c7565;Kenyan Shilling robust;97178;25391;96244;LATWY;card Plastic
5;486f6d65;image/png;Investor Public-key;Lebanon;Designer Persistent;Armando.Ruecker@hotmail.com;transmitter;Point Orchestrator;Solomon Islands Licensed;476c6f76657320426564666f7264736869726520417267656e74696e65205065736f;Kentucky Algerian Dinar Clothing;51209;80950;22649;LATWY;disintermediate Cambridgeshire hacking
6;46696a6920446f6c6c61722050726f666f756e64204261636f6e;image/png;Macao Equatorial Guinea Vision-oriented;Agent;Human deposit;Duncan_Heidenreich84@yahoo.com;SCSI drive THX;Unbranded Cheese Dynamic;Alabama transform;696e766f69636520486f6d6520476c6f766573;Buckinghamshire Ports;99445;22426;17592;LATWY;payment calculating
7;7475726e2d6b657920646564696361746564;image/png;Wisconsin;target Human withdrawal;dot-com payment Libyan Dinar;Cleta.Fay28@hotmail.com;Shoes deposit;Representative;Response Human;6261636b20757020466163746f7273;architectures;96665;57229;96361;LATWY;eco-centric Bedfordshire mesh
8;4572676f6e6f6d696320436f6e637265746520536f6170205a616d6269616e204b7761636861;image/png;Concrete Bedfordshire;portal calculating Metal;real-time discrete redundant;Deshaun_Streich@hotmail.com;Avon;Auto Loan Account olive;Yen;556e6272616e6465642046726573682050616e747320546f6f6c732043616c69666f726e6961;North Dakota Garden;46559;15504;54264;LATWY;Licensed Plastic Pants
9;636f6d706f73697465204f7263686573747261746f7220436c7562;image/png;Intelligent Granite Shirt Peru deposit;Frozen Analyst card;redundant;Horace.Kessler25@gmail.com;Chips;navigating;Som Rustic Frozen Keyboard ROI;42656e696e;Tuna Response invoice;51669;73789;65711;LATWY;Organic
10;576f6f64656e204572676f6e6f6d696320537465656c20476c6f766573;image/png;Developer Shoes Music;Buckinghamshire Hollow Shoes;withdrawal Generic Frozen Tuna;Alverta.Gerlach@hotmail.com;Optimization Cambridgeshire;payment Soap;Web;4f7574646f6f7273204e657720596f726b2044617461;Jamaican Dollar North Carolina;12850;45825;81120;LATWY;Branding Dynamic black
